 num_co_auth | num_auth 
-------------+----------
           1 |   203662
           2 |   264788
           3 |   232148
           4 |   173592
           5 |   127195
           6 |    92530
           7 |    71481
           8 |    55230
           9 |    45168
          10 |    36356
          11 |    30567
          12 |    25633
          13 |    22237
          14 |    19161
          15 |    16482
          16 |    14755
          17 |    12765
          18 |    11313
          19 |    10314
          20 |     9375
          21 |     8535
          22 |     7690
          23 |     7016
          24 |     6355
          25 |     5856
          26 |     5536
          27 |     5038
          28 |     4507
          29 |     4266
          30 |     3989
          31 |     3811
          32 |     3494
          33 |     3321
          34 |     2996
          35 |     2898
          36 |     2823
          37 |     2564
          38 |     2377
          39 |     2201
          40 |     2164
          41 |     2017
          42 |     1929
          43 |     1839
          44 |     1753
          45 |     1667
          46 |     1635
          47 |     1578
          48 |     1431
          49 |     1351
          50 |     1328
          51 |     1232
          52 |     1164
          53 |     1090
          54 |     1040
          55 |     1051
          56 |      976
          57 |      892
          58 |      898
          59 |      883
          60 |      846
          61 |      761
          62 |      804
          63 |      846
          64 |      689
          65 |      676
          66 |      662
          67 |      615
          68 |      588
          69 |      648
          70 |      600
          71 |      602
          72 |      544
          73 |      476
          74 |      504
          75 |      471
          76 |      460
          77 |      423
          78 |      425
          79 |      407
          80 |      413
          81 |      408
          82 |      388
          83 |      349
          84 |      326
          85 |      341
          86 |      317
          87 |      338
          88 |      325
          89 |      317
          90 |      320
          91 |      278
          92 |      279
          93 |      272
          94 |      347
          95 |      239
          96 |      258
          97 |      242
          98 |      195
          99 |      212
         100 |      275
         101 |      244
         102 |      206
         103 |      199
         104 |      218
         105 |      187
         106 |      191
         107 |      184
         108 |      182
         109 |      162
         110 |      177
         111 |      173
         112 |      157
         113 |      161
         114 |      156
         115 |      173
         116 |      155
         117 |      156
         118 |      244
         119 |      138
         120 |      135
         121 |      126
         122 |      128
         123 |      127
         124 |      131
         125 |      126
         126 |      103
         127 |      111
         128 |      100
         129 |      111
         130 |      115
         131 |       94
         132 |       93
         133 |       80
         134 |      100
         135 |       89
         136 |       90
         137 |       78
         138 |       85
         139 |       88
         140 |       87
         141 |       86
         142 |       88
         143 |       78
         144 |       71
         145 |       71
         146 |       77
         147 |       73
         148 |       58
         149 |       70
         150 |       76
         151 |       79
         152 |       68
         153 |       60
         154 |       45
         155 |       47
         156 |       41
         157 |       78
         158 |       48
         159 |       57
         160 |       52
         161 |       49
         162 |       45
         163 |       48
