SELECT 3141589
SELECT 131
INSERT 0 100
 num_coauth | journal_articles_publications | conference_and_workshop_papers_publications | books_and_thesis_publications 
------------+-------------------------------+---------------------------------------------+-------------------------------
          1 |                        315429 |                                      241619 |                          6972
          2 |                        428953 |                                      507670 |                             2
          3 |                        327204 |                                      471600 |                             0
          4 |                        176067 |                                      282276 |                             0
          5 |                         77569 |                                      129421 |                             0
          6 |                         33929 |                                       56623 |                             0
          7 |                         15428 |                                       23172 |                             0
          8 |                          8091 |                                       11264 |                             0
          9 |                          4547 |                                        5671 |                             0
         10 |                          2915 |                                        3154 |                             0
         11 |                          1640 |                                        1836 |                             0
         12 |                          1143 |                                        1098 |                             0
         13 |                           777 |                                         783 |                             0
         14 |                           566 |                                         537 |                             0
         15 |                           433 |                                         381 |                             0
         16 |                           270 |                                         255 |                             0
         17 |                           234 |                                         174 |                             0
         18 |                           174 |                                         132 |                             0
         19 |                           127 |                                         103 |                             0
         20 |                           131 |                                          84 |                             0
         21 |                            87 |                                          86 |                             0
         22 |                            87 |                                          57 |                             0
         23 |                            64 |                                          39 |                             0
         24 |                            57 |                                          36 |                             0
         25 |                            44 |                                          30 |                             0
         26 |                            37 |                                          25 |                             0
         27 |                            46 |                                          21 |                             0
         28 |                            40 |                                          20 |                             0
         29 |                            32 |                                          12 |                             0
         30 |                            34 |                                          13 |                             0
         31 |                             9 |                                          11 |                             0
         32 |                            23 |                                           6 |                             0
         33 |                            18 |                                           8 |                             0
         34 |                            14 |                                           9 |                             0
         35 |                             7 |                                           5 |                             0
         36 |                             7 |                                           7 |                             0
         37 |                            10 |                                           6 |                             0
         38 |                             8 |                                           3 |                             0
         39 |                             3 |                                           6 |                             0
         40 |                             4 |                                           3 |                             0
         41 |                             4 |                                           2 |                             0
         42 |                             8 |                                           5 |                             0
         43 |                             6 |                                           1 |                             0
         44 |                             3 |                                           3 |                             0
         45 |                             2 |                                           3 |                             0
         46 |                             2 |                                           0 |                             0
         47 |                             4 |                                           1 |                             0
         48 |                             3 |                                           1 |                             0
         49 |                             2 |                                           1 |                             0
         50 |                             4 |                                           0 |                             0
         51 |                             2 |                                           0 |                             0
         52 |                             4 |                                           0 |                             0
         53 |                             1 |                                           0 |                             0
         54 |                             2 |                                           0 |                             0
         55 |                             3 |                                           1 |                             0
         56 |                             0 |                                           1 |                             0
         57 |                             4 |                                           2 |                             0
         58 |                             2 |                                           0 |                             0
         59 |                             1 |                                           0 |                             0
         60 |                             0 |                                           1 |                             0
         61 |                             1 |                                           1 |                             0
         64 |                             4 |                                           0 |                             0
         65 |                             1 |                                           1 |                             0
         67 |                             1 |                                           0 |                             0
         68 |                             1 |                                           0 |                             0
         70 |                             0 |                                           1 |                             0
         71 |                             1 |                                           0 |                             0
         75 |                             1 |                                           0 |                             0
         77 |                             0 |                                           1 |                             0
         79 |                             1 |                                           0 |                             0
         85 |                             1 |                                           0 |                             0
         94 |                             0 |                                           1 |                             0
         95 |                             1 |                                           0 |                             0
        101 |                             1 |                                           0 |                             0
        102 |                             0 |                                           1 |                             0
        114 |                             0 |                                           1 |                             0
        119 |                             1 |                                           0 |                             0
(77 rows)

