 authid |   name    |                                      name                                       | count 
--------+-----------+---------------------------------------------------------------------------------+-------
   4040 | Wei Liu   | VCIP                                                                            |     1
   6036 | Wei Wang  | ACM Conference on Computer and Communications Security                          |     1
   4040 | Wei Liu   | DASC                                                                            |     1
  21694 | Yan Zhang | IITSI                                                                           |     4
   4040 | Wei Liu   | ICAIC (4)                                                                       |     1
   6036 | Wei Wang  | ICDMA                                                                           |     3
   4040 | Wei Liu   | Scientometrics                                                                  |     1
   4040 | Wei Liu   | SEKE                                                                            |     2
   6036 | Wei Wang  | ISA                                                                             |     1
   4040 | Wei Liu   | IEEE Transactions on Signal Processing                                          |     7
   6036 | Wei Wang  | APWCS                                                                           |     1
   4040 | Wei Liu   | IEEE Trans. Dependable Sec. Comput.                                             |     1
   6036 | Wei Wang  | J. Sci. Comput.                                                                 |     2
  21694 | Yan Zhang | J. Electronic Imaging                                                           |     2
   4040 | Wei Liu   | LCN                                                                             |     2
   6036 | Wei Wang  | SIAM J. Math. Analysis                                                          |     2
   6036 | Wei Wang  | TAMC                                                                            |     1
   6036 | Wei Wang  | ASPLOS                                                                          |     1
   4040 | Wei Liu   | ICIRA (2)                                                                       |     3
   6036 | Wei Wang  | CSE                                                                             |     3
  21694 | Yan Zhang | PAKDD (2)                                                                       |     1
   6036 | Wei Wang  | Int. J. Hum. Comput. Interaction                                                |     2
   6036 | Wei Wang  | IEEE T. Automation Science and Engineering                                      |     3
   6036 | Wei Wang  | BIODEVICES                                                                      |     1
  21694 | Yan Zhang | CSSE (4)                                                                        |     1
   4040 | Wei Liu   | IEICE Transactions                                                              |    10
  21694 | Yan Zhang | Aslib J. Inf. Manag.                                                            |     1
   6036 | Wei Wang  | Rel. Eng.&Sys. Safety                                                           |     2
   6036 | Wei Wang  | SAC                                                                             |     2
   4040 | Wei Liu   | PPOPP                                                                           |     1
  21694 | Yan Zhang | CGIV                                                                            |     1
   4040 | Wei Liu   | Future Network&Mobile Summit                                                    |     1
   4040 | Wei Liu   | IJMA                                                                            |     1
   6036 | Wei Wang  | J. Comput. Physics                                                              |     1
   4040 | Wei Liu   | AICI (1)                                                                        |     1
  21694 | Yan Zhang | ICSH                                                                            |     3
   6036 | Wei Wang  | CCTA (4)                                                                        |     3
   4040 | Wei Liu   | Asymptotic Analysis                                                             |     1
   6036 | Wei Wang  | Int. J. Image Graphics                                                          |     1
   6036 | Wei Wang  | ICPR (4)                                                                        |     1
  21694 | Yan Zhang | ISGT Europe                                                                     |     1
  21694 | Yan Zhang | Prostate Cancer Imaging                                                         |     1
  21694 | Yan Zhang | FSKD (5)                                                                        |     2
  21694 | Yan Zhang | SIGIR                                                                           |     1
   6036 | Wei Wang  | AVSS                                                                            |     1
   4040 | Wei Liu   | CLOUD                                                                           |     1
   4040 | Wei Liu   | ICIC (1)                                                                        |     2
   6036 | Wei Wang  | JCAI                                                                            |     1
  21694 | Yan Zhang | WWW (Companion Volume)                                                          |     1
